state,p1960,p1964,p1968,p1972,p1976,p1980,p1984,p1988,p1992,p1996,p2000,deepsouth
AL,30.8,35.9,52.7,43.4,47.2,47.5,49.9,46,54.8,47.7,50,1
AK,43.7,44,50,48.3,48.3,41.2,59.4,55.7,63.8,56.9,64.4,0
AZ,52.4,54.8,49.9,48.1,48.6,47.3,46.1,46.1,52.9,45.4,42.1,0
AR,40.9,50.6,54.2,48.1,52.2,52.6,51.8,47.3,53.6,47.5,47.8,1
CA,65.8,65.4,61.6,59.9,51.3,48.5,49.6,47.1,49.4,43.3,44,0
CO,69.2,68,64.8,60.1,60.4,56.1,55.1,56.2,60.8,53.1,56.8,0
CT,76.1,70.7,68.8,66.3,62.4,59.4,61,58.3,64.4,56.4,58.3,0
DE,72.3,68.9,68.3,62.3,58.4,56,55.6,50.2,55.6,49.6,56.3,0
DC,NA,38.7,34.5,30.8,33.3,33.9,43.1,40.9,48.7,42.7,49,0
FL,48.6,51.2,53.1,49.3,51.5,50.6,48.3,44.7,51,48,50.6,1
GA,29.3,43.3,43.9,37.9,43.3,42.3,42,39.4,46.4,42.6,43.8,1
HI,49.8,51.3,53.8,50.4,48.1,45.4,44.4,43.5,43.1,40.8,41,0
ID,79.7,77.2,73.4,63.2,61.6,67.4,59.8,58.2,64.3,58.2,53.7,0
IL,75.5,73.2,69.3,62.7,60.6,57.6,57,52.8,58.7,49.2,52.8,0
IN,76.3,73.5,70.7,60.8,60.8,56.5,55.9,52.8,54.8,48.9,49.1,0
IW,76.5,72.9,69.8,63.3,63.7,62.1,62.1,57.7,65.3,57.7,60.7,0
KS,69.6,65.1,64.8,59,58.4,54.4,56.8,53.7,62.9,56.6,54,0
KY,57.7,53.3,51.2,48.4,49.1,50,50.8,48.1,53.4,47.5,51.7,0
LA,44.6,47.3,54.8,44.3,49.8,55,54.5,52.3,58.8,56.9,54.2,1
MN,71.7,65.1,66.4,61.1,65,64.8,64.7,61.1,72.9,64.5,67.4,0
MD,56.5,54.1,54.4,50.3,49.9,48.6,51.4,49,53.6,46.7,51.4,0
MA,75,70,67.4,62,61.6,57.8,57.5,57.7,60.1,55.3,56.8,0
MI,72.2,67.9,65.7,59.5,58.7,54.7,57.9,53.9,61.5,54.5,57.4,0
MN,76.4,75.8,73.8,68.4,71.4,63.8,68.2,65.5,71.8,64.3,68.8,0
MS,25.3,33.9,53.3,45,49.5,53.4,52.2,50.5,52.4,45.6,48.6,1
MO,71.5,67.1,64.3,57.5,57.7,57.4,57.2,54.5,62.1,54.2,57.5,0
MT,70.2,69.3,68.1,67.7,63.7,58.8,65,62.4,68.4,62.9,61.8,0
NE,70.6,66.5,60.9,56,56.1,54.7,55.5,55.9,63.4,56.1,56.3,0
NV,58.3,52.1,54.3,50.9,47.5,44.8,41.7,43.5,50.1,39.3,43.8,0
NH,78.7,72.4,69.6,64.2,58.8,57.8,53.1,55.2,64.2,58,62.3,0
NJ,70.8,68.8,66,60,58.1,52.8,56.5,52.6,56.1,51.2,51,0
NM,61.7,62,60.7,57.6,54.6,50.4,51.3,48.9,50.8,46,47.4,0
NY,66.5,63.3,59.3,56.6,50.8,45.4,51.1,47.8,50.5,46.5,49.3,0
NC,52.9,52.3,54.4,43.4,44.1,45.4,47.4,43.7,50.3,45.8,50.2,1
ND,78,71.4,70,67.9,67.2,56.9,62.6,61.4,66.7,56.3,60.4,0
OH,70.7,66.6,63.3,57.5,55.4,54.6,57.8,54.5,60.2,54.3,55.7,0
OK,63.1,63.4,61.2,56.9,55.6,52.6,52.1,49.5,59.1,49.9,48.8,0
OR,72,68.9,66.6,61.7,62.1,58.2,61.8,57.3,65.9,57.5,60.5,0
PA,70.3,67.9,65.3,56.1,54.7,51.7,53.9,49.5,54.1,49,53.7,0
RI,75.1,71.6,67.2,62,61.5,56.3,55.8,52.9,59,52,54.2,0
SC,30.4,39.4,46.7,38.6,41.7,42.6,40.7,39,45.1,41.5,46.5,1
SD,77.6,74.2,73.3,68.8,63.8,66.6,62.5,60.4,66.6,61.1,58.2,0
TN,49.8,51.7,53.7,43.6,49.6,50.1,49.1,44.7,52.2,47.1,49.2,1
TX,41.2,44.6,48.7,45.4,47.3,44.7,47.3,45.5,48.5,41.2,43.1,1
UT,78.2,78.4,76.7,68.5,69.4,65.4,61.7,60.6,63.6,50.3,52.7,0
VT,72.4,70.3,64.1,61.1,56.9,57.7,59.9,57.9,67.5,58.6,63.7,0
VA,32.8,41.1,50.1,45.5,47.7,47.6,50.7,48,52.7,47.5,52,1
WA,71.9,71.8,66,63.8,61.1,50.8,58.4,53.4,60,54.7,56.9,0
WV,77.9,75.5,71.1,62.4,58.1,52.4,51.7,46.6,49.7,45,45.7,0
WI,72.9,69.5,66.5,62,65.9,64.9,63.4,61,68.9,57.4,66.1,0
WY,73.3,74.3,67,63.6,58.1,51.3,53.2,52.1,61,60.1,59.7,0
