country,pop,pctGeqOncePerWeek,gdp06,pctSatisfied
Australia,20.7,60,724.36,42
Austria,8.28,70,323.54,43
Brazil,189.32,82,1072.12,42
Canada,32.65,59,1274.96,48
China,1311.02,78,2657.88,42
France,61.35,70,2267.54,25
Germany,82.38,68,2913.31,38
Greece,11.15,87,268.45,51
Holland,16.35,63,670.33,50
Hong Kong,6.86,62,190,29
India,1109.81,68,914.89,61
Italy,58.94,76,1856.71,36
Japan,127.76,34,4375.97,15
Malaysia,26.11,74,156.41,38
Mexico,104.22,71,948.86,63
New Zeland,4.18,63,108.37,43
Nigeria,144.72,53,146.87,67
Poland,38.14,76,341.67,54
Russia,142.5,80,990.58,42
Singapore,4.4,62,136.57,35
South Africa,47.39,71,257.12,50
Spain,44.12,72,1230.65,49
Switzerrland,7.48,72,387.76,42
Thailand,63.44,65,206.7,35
UK,60.6,55,2402.65,40
USA,298.76,53,13132.9,48
